bank_description,ledger_narration,bank_date,ledger_date,bank_amount,ledger_amount,label,label_text,notes
ELECTRICITY BILL MSEB,MSEB Electricity Bill,2024-01-15,2024-01-14,8700.0,8700.0,1,matched,
SWIFT/INWARD/USD/CLIENT PAY,Client Payment USD Receipt,2024-01-25,2024-01-25,82000.0,82000.0,1,matched,
Client Payment USD Receipt,Client Refund USD Payment,2024-01-25,2024-01-25,82000.0,82000.0,0,unmatched,
Tech mahindra consult,Tech Mahindra Consulting,2024-01-20,2024-01-20,120000.0,120000.0,1,matched,
HDFC CC BILL,HDFC Credit Card Bill January,2024-01-28,2024-01-29,23400.0,23400.0,2,possible_match,requires human review
ACH CREDIT Salary Payment Feb Staff,Salary Payment February,2024-02-01,2024-02-01,350000.0,350000.0,1,matched,
SAL PAY FEB,Salary Payment February,2024-02-01,2024-02-01,350000.0,350000.0,1,matched,
Bank Charges Q1,Service Tax on Bank Charges,2024-03-31,2024-03-31,450.0,450.0,0,unmatched,
MICROSOFT 365 SUBSCRIPTION,Microsoft Office 365 Subscription,2024-01-22,2024-01-22,6500.0,6500.0,1,matched,
HDFC Bank Loan EMI,ICICI Bank Loan EMI,2024-01-05,2024-01-05,25000.0,25000.0,0,unmatched,
NEFT-HDFC-20240205-INV#4421-VENDOR,Vendor Payment Invoice 4421,2024-02-05,2024-02-05,48000.0,48000.0,1,matched,
TCS PAYMENT,Tata Consultancy Services,2024-02-20,2024-02-20,350000.0,350000.0,2,possible_match,requires human review
PAYMENT TO Google Cloud Platform MARCH,Google Cloud Platform,2024-03-10,2024-03-10,45000.0,45000.0,1,matched,
Tata Consultancy Services,Tata Motors Purchase,2024-02-20,2024-02-20,350000.0,350000.0,0,unmatched,
Zomato Payout March,Zomato Payout March,2024-03-05,2024-03-06,11200.0,11200.0,1,matched,
UPI RENT FEB,Rent Payment February 2024,2024-02-01,2024-02-01,75000.0,75000.0,2,possible_match,requires human review
Amazon Web Services,Amazon Web Services,2024-01-05,2024-01-05,12000.0,12000.0,0,unmatched,
HDFC Loan EMI,HDFC Loan EMI,2024-01-05,2024-01-05,25000.0,30000.0,0,unmatched,
IRCTC TKT BOOKING,IRCTC Train Ticket Booking,2024-02-10,2024-02-10,1845.0,1845.0,1,matched,
Amazon AWS Services,Amazon Web Services,2024-01-05,2024-01-05,12000.0,12000.0,2,possible_match,requires human review
Swiggy Partner Payment,Swiggy Partner Payment,2024-01-22,2024-01-21,9400.0,9400.0,1,matched,
Airtel Mobile Bill,Vodafone Mobile Bill,2024-01-22,2024-01-22,1299.0,1299.0,0,unmatched,
REF#8821 Amazon Web Services INV,Amazon Web Services,2024-01-05,2024-01-05,12000.0,12000.0,1,matched,
TDS Deducted February,TDS Deducted February,2024-02-20,2024-02-25,15000.0,15000.0,0,unmatched,
ICICI Insurance Premium,ICICI Insurance Premium,2024-03-01,2024-02-29,7800.0,7800.0,1,matched,
MSOFT OFFICE SUB,Microsoft Office 365 Subscription,2024-01-22,2024-01-22,6500.0,6500.0,2,possible_match,requires human review
SBI CORPORATE SALARY CR,Corporate Salary Credit SBI,2024-02-28,2024-03-01,350000.0,350000.0,1,matched,
Municipal Water Bill,Municipal Water Bill,2024-01-15,2024-01-15,2300.0,2300.0,1,matched,
Amazon Web Services,Amazon Web Services,2024-01-05,2024-01-05,12000.0,12000.0,1,matched,
RTGS/20240320/ADVANCE TO SUPPLIER,Advance Payment to Supplier,2024-03-20,2024-03-20,150000.0,150000.0,1,matched,
PAYTM WALLET TOPUP,Paytm Wallet Recharge,2024-01-15,2024-01-15,5000.0,5000.0,1,matched,
infosys technologies ltd,Infosys Technologies Ltd,2024-02-15,2024-02-15,200000.0,200000.0,1,matched,
HCL TECH INVOICE,HCL Technologies Invoice,2024-03-10,2024-03-10,95000.0,95000.0,1,matched,
RELIANCE JIO RECHARGE,Jio Recharge,2024-02-01,2024-02-01,999.0,999.0,1,matched,
ICICI Insurance Premium,ICICI Bank Fixed Deposit,2024-03-01,2024-03-01,7800.0,100000.0,0,unmatched,
Flipkart Seller Payout,Flipkart Seller Payout,2024-01-08,2024-01-07,18500.0,18500.0,1,matched,
GOOG CLOUD INV 4521,Google Cloud Platform Invoice,2024-01-10,2024-01-10,45000.0,45000.0,1,matched,
BHARTI AIRTEL BILL,Airtel Mobile Bill,2024-01-22,2024-01-22,1299.0,1299.0,1,matched,
Amazon Web Services February,Amazon Web Services January,2024-02-05,2024-01-05,12000.0,12000.0,0,unmatched,
Amazon Web Services,Microsoft Azure Services,2024-01-05,2024-01-05,12000.0,12000.0,0,unmatched,
ZOOM VIDEO COMM,Zoom Video Communications,2024-01-05,2024-01-05,2400.0,2400.0,1,matched,
Interest Received FD,Interest Paid on Loan,2024-01-31,2024-01-31,9500.0,9500.0,0,unmatched,
Vendor Payment Invoice 4421,Vendor Payment Invoice 4422,2024-02-05,2024-02-05,48000.0,48000.0,0,unmatched,
UPI/CR/PHONEPE/SALES RECEIPT,Sales Receipt PhonePe,2024-02-10,2024-02-10,1500.0,1500.0,1,matched,
POS/SWIPE/BIG BAZAAR/GROCERIES,Grocery Purchase Big Bazaar,2024-01-18,2024-01-18,4200.0,4200.0,1,matched,
NEFT/20240101/Office Rent January,Office Rent January,2024-01-01,2024-01-01,75000.0,75000.0,1,matched,
AWS India Pvt Ltd,Amazon Web Services,2024-01-05,2024-01-05,12000.0,12000.0,1,matched,
Salary Payment March,Salary Payment February,2024-03-01,2024-02-01,350000.0,350000.0,0,unmatched,
Office Rent January,Office Rent January,2024-01-01,2024-01-01,75000.0,75000.0,1,matched,
Office Rent January,Office Rent January,2024-01-01,2024-01-01,75000.0,75000.0,0,unmatched,
Razorpay Settlement,Razorpay Settlement,2024-02-14,2024-02-15,62000.0,62000.0,1,matched,
GST PAYMENT MARCH QTR,GST Quarterly Payment March,2024-03-25,2024-03-25,68000.0,68000.0,1,matched,
DEBIT CARD/AMAZON PAY/RECHARGE,Amazon Pay Mobile Recharge,2024-01-30,2024-01-30,299.0,299.0,1,matched,
Google Cloud Platform,Google Cloud Platform,2024-01-10,2024-01-10,45000.0,38000.0,0,unmatched,
Salary Feb 2024,Salary Payment February,2024-02-01,2024-02-02,350000.0,350000.0,2,possible_match,requires human review
Google Cloud Platform,Google Cloud Platform,2024-01-10,2024-01-10,45000.0,45000.0,1,matched,
GST Payment March,GST Payment March,2024-03-25,2024-04-02,68000.0,68000.0,0,unmatched,
GST QTR PMT,GST Quarterly Payment March,2024-03-25,2024-03-26,68000.0,68000.0,2,possible_match,requires human review
